account,coin,exec_price,size_usd,side,direction,pnl,fee,net_pnl,is_win,is_cross_margin,trade_date,sentiment
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.057,22156.95,SELL,Sell,3008.231185,7.754933,3000.476252,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.057,226.43,SELL,Sell,30.741534,0.079248,30.662286,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.048,302.2,SELL,Sell,40.770089,0.105771,40.664318,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0464,1809.28,SELL,Sell,243.812267,0.633248,243.17901899999998,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0424,1892.21,SELL,Sell,254.263735,0.662274,253.601461,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0424,180.85,SELL,Sell,24.301227,0.063296,24.237931,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0417,1001.82,SELL,Sell,134.551236,0.350637,134.20059899999998,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.04,307.36,SELL,Sell,41.230486,0.107576,41.12291,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.04,4520.0,SELL,Sell,606.330666,1.582,604.748666,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.04,4520.0,SELL,Sell,606.330666,1.582,604.748666,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0397,1151.03,SELL,Sell,154.369969,0.402858,153.967111,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.039,1297.37,SELL,Sell,173.909751,0.454078,173.455673,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0354,100.93,SELL,Sell,13.494046,0.035323,13.458723,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0346,1150.38,SELL,Sell,153.720586,0.402631,153.31795499999998,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0333,660.06,SELL,Sell,88.119595,0.231022,87.88857300000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0327,255.35,SELL,Sell,34.075565,0.089374,33.986191,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0303,1919.93,SELL,Sell,255.761609,0.671976,255.089633,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0303,350.38,SELL,Sell,46.6749,0.122631,46.552269,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.03,1301.13,SELL,Sell,173.291472,0.455396,172.836076,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.03,135.0,SELL,Sell,17.979787,0.047249,17.932538,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0756,907.56,SELL,Sell,124.826134,0.317646,124.508488,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0755,1937.98,SELL,Sell,266.532371,0.678293,265.854078,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0755,907.55,SELL,Sell,124.816134,0.317642,124.498492,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0755,240.05,SELL,Sell,33.013868,0.084016,32.929852000000004,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0752,1307.65,SELL,Sell,179.80434,0.457675,179.346665,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0752,272.26,SELL,Sell,37.43584,0.095289,37.340551,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0674,98.29,SELL,Sell,13.442265,0.034401,13.407864,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0663,27.2,SELL,Sell,3.716884,0.009519,3.707365,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0661,1306.33,SELL,Sell,178.493121,0.457217,178.03590400000002,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0658,349.94,SELL,Sell,47.804608,0.122478,47.68213,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0642,743.45,SELL,Sell,101.447367,0.260205,101.187162,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0642,885.57,SELL,Sell,120.841353,0.30995,120.531403,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0613,888.01,SELL,Sell,120.928211,0.310802,120.61740900000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0611,743.19,SELL,Sell,101.193105,0.260116,100.932989,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0579,742.93,SELL,Sell,100.930641,0.260025,100.670616,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0571,1305.04,SELL,Sell,177.196311,0.456763,176.739548,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0547,742.67,SELL,Sell,100.668177,0.259933,100.408244,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0546,271.64,SELL,Sell,36.81784,0.095073,36.722767,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0516,742.41,SELL,Sell,100.413915,0.259844,100.154071,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0515,905.15,SELL,Sell,122.416134,0.316802,122.099332,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0515,452.58,SELL,Sell,61.208067,0.158401,61.049666,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.05,35.39,SELL,Sell,4.780606,0.012384,4.768222,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.05,90.5,SELL,Sell,12.226614,0.031675,12.194939,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.05,5199.5,SELL,Sell,702.455615,1.819823,700.6357919999999,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0485,815.27,SELL,Sell,110.026636,0.285344,109.741292,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0484,742.15,SELL,Sell,100.151451,0.259752,99.89169899999999,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.048,1303.73,SELL,Sell,175.885092,0.456304,175.428788,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0464,1809.28,SELL,Sell,243.812267,0.633248,243.17901899999998,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0453,741.9,SELL,Sell,99.897189,0.259663,99.637526,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0448,64.13,SELL,Sell,8.631801,0.022444,8.609357,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0431,452.16,SELL,Sell,60.788067,0.158254,60.629813,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0421,741.63,SELL,Sell,99.634725,0.259571,99.37515400000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.0421,2424.64,SELL,Sell,325.738252,0.848623,324.889629,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.041,272.04,SELL,Sell,36.51907,0.095215,36.423854999999996,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.04,13587.75,SELL,Sell,1822.714868,4.755713,1817.959155,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.04,506.42,SELL,Sell,67.933288,0.177247,67.75604100000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.04,605.68,SELL,Sell,81.24831,0.211988,81.036322,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,9.039,89.31,SELL,Sell,11.971214,0.031256,11.939957999999999,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.49,3584.0,SELL,Close Long,139.418262,1.2544,138.163862,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.47,2097.37,SELL,Close Long,81.421585,0.734077,80.687508,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.46,3314.43,SELL,Close Long,128.537643,1.160049,127.377594,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.45,14.55,SELL,Close Long,0.563574,0.005091,0.5584830000000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.36,891.88,SELL,Close Long,34.234672,0.312159,33.922513,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.34,24524.81,SELL,Close Long,939.42948,8.583682,930.8457980000001,True,True,2024-12-03,Extreme Greed
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,AAVE,242.33,756.07,SELL,Close Long,28.931448,0.264624,28.666824,True,True,2024-12-03,Extreme Greed
